,file_name_data,vocal_label,gender_label,type_of_data_label,gender_label_transformed,vocal_label_mapped
0,a/f2_long_trill_a,a,f,long,1.0,0
1,a/f3_arpeggios_c_slow_piano_a,a,f,arpeggios,1.0,0
2,a/m1_arpeggios_straight_a,a,m,arpeggios,0.0,0
3,a/f3_arpeggios_f_fast_forte_a,a,f,arpeggios,1.0,0
4,a/m7_arpeggios_c_slow_piano_a,a,m,arpeggios,0.0,0
5,a/m5_arpeggios_breathy_a,a,m,arpeggios,0.0,0
6,a/m4_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
7,a/f1_arpeggios_f_slow_piano_a,a,f,arpeggios,1.0,0
8,a/m1_arpeggios_vocal_fry_a,a,m,arpeggios,0.0,0
9,a/m6_scales_f_slow_piano_a,a,m,scales,0.0,0
10,a/m5_scales_c_slow_piano_a,a,m,scales,0.0,0
11,a/m9_arpeggios_c_fast_piano_a,a,m,arpeggios,0.0,0
12,a/f5_scales_f_fast_forte_a,a,f,scales,1.0,0
13,a/m10_long_trillo_a,a,m,long,0.0,0
14,a/m7_scales_c_fast_forte_a,a,m,scales,0.0,0
15,a/f1_scales_c_fast_piano_a,a,f,scales,1.0,0
16,a/m11_scales_c_fast_piano_a,a,m,scales,0.0,0
17,a/f7_scales_c_slow_forte_a,a,f,scales,1.0,0
18,a/m5_scales_vibrato_a,a,m,scales,0.0,0
19,a/f1_arpeggios_c_slow_forte_a,a,f,arpeggios,1.0,0
20,a/m3_arpeggios_c_slow_piano_a,a,m,arpeggios,0.0,0
21,a/m2_scales_vibrato_a,a,m,scales,0.0,0
22,a/f5_arpeggios_vibrato_a,a,f,arpeggios,1.0,0
23,a/f4_scales_breathy_a,a,f,scales,1.0,0
24,a/m1_scales_f_slow_forte_a,a,m,scales,0.0,0
25,a/m1_arpeggios_f_slow_piano_a,a,m,arpeggios,0.0,0
26,a/m10_scales_breathy_a,a,m,scales,0.0,0
27,a/m10_arpeggios_c_slow_forte_a,a,m,arpeggios,0.0,0
28,a/m10_arpeggios_c_slow_piano_a,a,m,arpeggios,0.0,0
